Item Name,Description
Sliced Planter,"A modern minimalist planter paired with a wrap-around plate. 3D printed to order in your choice of colour. Designed by h3li0."
Ribbed Planter Large,"A modern minimalist planter with a ribbed pattern, supplied with its plate. 3D printed to order in your choice of colour. Designed by h3li0."
Lagos Vase,"A sculptural, flowing vase — equally at home standing alone in a contemporary space or holding dry flowers. 3D printed to order in your choice of colour. Designed by h3li0."
Guarda Vase,"Minimalist form with dramatic sweeping patterns. A standalone piece, or a home for dry flowers. 3D printed to order in your choice of colour. Designed by h3li0."
Porto Vase,"Clean lines complemented by surface patterning — an interplay of form and texture with a modern elegance. 3D printed to order in your choice of colour. Designed by h3li0."
Mafra Vase,"A timeless silhouette with an intricate hollow lattice. Elegant from across the room, detailed up close — for display or dry flowers. 3D printed to order in your choice of colour. Designed by h3li0."
Pinn Vase,"Modern minimalist design combining flow and texture, an elegant piece for a living space. 3D printed to order in your choice of colour. Designed by h3li0."
Hearts Vase,"A Valentine's vase built from three intertwined hearts spiralling into a single form, with two insert options. 3D printed to order in your choice of colour. Designed by h3li0."
Faro Vase,"Built around surface exploration — wave-like textures and a fuzzy skin give it a bold, tactile presence. 3D printed to order in your choice of colour. Designed by h3li0."
Perpetuo Vase,"A compact 120mm vase with delicate geometric patterning, designed for elegant presentation. 3D printed to order in your choice of colour. Designed by h3li0."
Solara Vase,"A sleek, modern minimalist vase for the home. 3D printed to order in your choice of colour. Designed by h3li0."
Hive Vase,"A modern minimalist vase with a clean, contemporary profile. 3D printed to order in your choice of colour. Designed by h3li0."
Inflect Vase,"Modern minimalist design with an understated, contemporary shape. 3D printed to order in your choice of colour. Designed by h3li0."
Apexis Vase,"A modern minimalist vase with a clean silhouette. 3D printed to order in your choice of colour. Designed by h3li0."
Vanta Vase,"A modern minimalist vase with a clean, understated profile. 3D printed to order in your choice of colour. Designed by h3li0."
Obscura Vase,"A modern minimalist vase, available in two sizes. 3D printed to order in your choice of colour. Designed by h3li0."
Quell Vase,"Modern minimalist design, available in two sizes. 3D printed to order in your choice of colour. Designed by h3li0."
Vellis Vase,"A modern minimalist vase available in two heights — 200mm and 300mm. 3D printed to order in your choice of colour. Designed by h3li0."
Lucid Vase,"A modern minimalist vase, offered in two sizes. 3D printed to order in your choice of colour. Designed by h3li0."
Fractal Vase,"Modern minimalist form, available in two sizes. 3D printed to order in your choice of colour. Designed by h3li0."
Influx Vase,"A modern minimalist vase in two sizes. 3D printed to order in your choice of colour. Designed by h3li0."
Solstice Vase,"A modern minimalist vase with a clean contemporary shape. 3D printed to order in your choice of colour. Designed by h3li0."
Nimbus Vase,"The first piece in the Nimbus series — a vase, box and planter sharing the same design language. 3D printed to order in your choice of colour. Designed by h3li0."
Facet Vase,"A distinctive double-gourd silhouette wrapped in a fine diamond lattice — sculptural enough to stand alone, and just as good holding dry flowers. 3D printed to order in your choice of colour. Designed by h3li0."
Strata Vase,"Crisp vertical fluting wrapped around a soft bottle silhouette. Choose from three heights — 160mm, 180mm or 200mm — designed to group together. 3D printed to order in your choice of colour. Designed by h3li0."
Polygon Vase,"The companion vase to the Polygon Planter, paired with a wrap-around plate. 3D printed to order in your choice of colour. Designed by h3li0."
Gradiz Lamp,"A modern minimalist table lamp that builds up from modular printed parts — clean lines, and easy to live with. Supplied as printed parts only: no electrical components included. Requires a standard E26 lamp kit with plug and switch, sold separately. 3D printed to order in your choice of colour. Designed by h3li0."
Clarit Lamp,"A compact desk lamp with a softly tapered square shade over a ribbed cube base — finely lined surfaces that catch the light when lit. Sized for a standard LED lamp kit. Supplied as printed parts only: no electrical components included. 3D printed to order in your choice of colour. Designed by h3li0."
Lucent Lamp,"A sleek modern table lamp — a finely pleated conical shade above a rounded base wrapped in a swirling twisted lattice. Assembles from modular printed parts. Supplied as printed parts only: no electrical components included. Requires a standard E26 lamp kit with plug and switch, sold separately. 3D printed to order in your choice of colour. Designed by h3li0."
Prismal Desk E14,"A sleek modular desk lamp for mood lighting at a workspace — a broad ribbed cylinder shade on a low block base, glowing softly from within. Use low-heat LED bulbs only, 25W maximum. Supplied as printed parts only: no electrical components included. Requires an E14 lamp kit with plug and switch, sold separately. 3D printed to order in your choice of colour. Designed by h3li0."
Tejo Pendant Lamp,"A modern minimalist pendant lamp — a finely ribbed outer shade over an inner diffuser shade, throwing soft mood light. Choose from three sizes: small, mid or large. Use low-heat LED bulbs only, 25W maximum. Supplied as printed parts only: no electrical components included. Requires an E26 pendant light fixture kit, sold separately. 3D printed to order in your choice of colour. Designed by h3li0."
Sines Lamp,"A minimalist desk lamp for soft ambient light — the shade screws into the base, and an optional top diffuser softens it further. Quietly sophisticated on a desk. Use low-heat LED bulbs only, 25W maximum. Supplied as printed parts only: no electrical components included. Requires an E14 lamp kit with plug and switch, sold separately. 3D printed to order in your choice of colour. Designed by h3li0."
Prismal Living Room E27,"A sleek modular lamp for ambient lighting — a minimalist base beneath a softly rounded outer shade that mirrors the base colour in elegant vertical ribbing, with an inner white shade diffusing the light. At home in a living room, a reading nook, or as a statement piece. Use low-heat LED bulbs only, 25W maximum. Supplied as printed parts only: no electrical components included. Requires a standard E26 lamp kit with plug and switch, sold separately. 3D printed to order in your choice of colour. Designed by h3li0."
